%  - Subwijken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oog in Al, Welgelegen;Lombok, Leidseweg;Nieuw Engeland, Schepenbrt;Pijlsweerd;Ondiep, 2e Daalsebrt;Zuilen-west;Zuilen-noord en -oost;Taagdreef, Wolgadreef;Zamenhofdreef, Neckardreef;Vechtzoom, Klopvaart;Zambesidreef, Tigrisdreef;Votulast;Tuindorp, Voordorp;Wittevrouwen, Zeeheldenbrt;Oudwijk, Buiten Wittevrouwen;Abstede, Gansstraat;Wilhelminapark, Rijnsweerd;Binnenstad city- en winkelgeb;Binnenstad woongebied;Lunetten;Oud Hoograven, Tolsteeg;Nieuw Hoograven, Bokkenbrt;Dichterswijk, Rivierenwijk;Transwijk;Kanaleneiland;Terwijde, De Wetering;Het Zand;Leidsche Rijn Centrum e.o;Parkwijk, Langerak;Leidsche Rijn-zuid;Vleuten, Haarzuilens;Veldhuizen, Vleuterweide;De Meern;Rijnenburg;onbekend
% vaak last van drugsgebruik of drugshandel in de buurt [2019];20%;44%;27%;14%;21%;11%;19%;34%;32%;25%;34%;9%;3%;14%;8%;9%;5%;21%;20%;16%;9%;10%;14%;18%;25%;7%;5%;13%;5%;.;1%;5%;7%;.;.
% vaak last van drugsgebruik of drugshandel in de buurt [2021];15%;37%;16%;14%;18%;11%;26%;36%;35%;28%;30%;10%;3%;10%;10%;4%;3%;19%;17%;16%;13%;21%;10%;12%;26%;11%;10%;15%;11%;.;7%;11%;8%;.;.
% vaak last van drugsgebruik of drugshandel in de buurt [2023];13%;25%;16%;20%;19%;11%;17%;33%;26%;30%;34%;8%;5%;12%;13%;7%;3%;30%;23%;24%;10%;23%;11%;15%;30%;9%;13%;10%;5%;.;11%;9%;9%;.;
% vaak last van drugsgebruik of drugshandel in de buurt [2025];12%;30%;12%;13%;16%;14%;20%;29%;33%;32%;27%;9%;5%;12%;13%;7%;4%;42%;34%;27%;8%;22%;15%;16%;29%;11%;13%;10%;7%;.;9%;13%;7%;.;
% jeugdproblematiek [2011];16%;12%;14%;18%;14%;11%;24%;25%;25%;17%;26%;13%;19%;4%;16%;7%;6%;13%;8%;18%;16%;26%;20%;19%;31%;25%;11%;.;22%;.;17%;14%;10%;.;-
% jeugdproblematiek [2013];9%;9%;17%;13%;12%;19%;18%;26%;15%;16%;19%;15%;8%;5%;11%;11%;5%;13%;8%;18%;12%;21%;21%;12%;19%;18%;8%;.;16%;.;18%;10%;8%;.;-
% jeugdproblematiek [2015];6%;10%;9%;8%;10%;14%;20%;30%;16%;13%;24%;10%;7%;4%;3%;6%;4%;10%;8%;11%;14%;16%;12%;7%;20%;12%;9%;.;15%;.;17%;11%;8%;.;
% jeugdproblematiek [2017];6%;11%;17%;7%;8%;11%;20%;23%;16%;17%;22%;4%;4%;3%;5%;8%;3%;7%;6%;24%;13%;22%;12%;7%;19%;10%;7%;.;11%;.;7%;14%;7%;.;
% jeugdproblematiek [2019];10%;11%;7%;5%;11%;11%;15%;16%;17%;11%;17%;4%;6%;5%;6%;8%;4%;7%;4%;14%;11%;14%;12%;13%;15%;7%;3%;7%;8%;.;9%;13%;12%;.;.
% voelde zich op straat geïntimideerd de laatste 12 maanden [2019];28%;47%;37%;42%;39%;33%;35%;33%;29%;26%;27%;32%;25%;37%;37%;36%;39%;42%;44%;32%;34%;26%;33%;37%;30%;27%;22%;31%;24%;.;18%;26%;18%;.;.
% voelde zich op straat geïntimideerd de laatste 12 maanden [2021];23%;38%;40%;33%;40%;39%;35%;35%;29%;32%;28%;34%;29%;34%;38%;33%;34%;43%;38%;29%;39%;24%;32%;34%;33%;24%;24%;29%;24%;.;20%;21%;21%;.;.
% voelde zich op straat geïntimideerd de laatste 12 maanden [2023];35%;40%;38%;48%;40%;41%;32%;32%;37%;25%;26%;37%;26%;34%;40%;37%;38%;49%;47%;34%;42%;33%;39%;36%;37%;26%;28%;31%;23%;.;20%;26%;19%;.;
% voelde zich op straat geïntimideerd de laatste 12 maanden [2025];39%;55%;43%;47%;45%;39%;43%;40%;37%;39%;34%;36%;29%;31%;40%;41%;42%;55%;49%;37%;40%;37%;35%;43%;43%;38%;35%;33%;29%;.;26%;29%;29%;.;
% voelde zich op straat niet geïntimideerd de laatste 12 maanden [2019];71%;52%;60%;54%;58%;64%;60%;65%;68%;73%;59%;67%;74%;62%;63%;63%;59%;58%;54%;65%;65%;68%;66%;59%;62%;71%;75%;65%;74%;.;82%;72%;80%;.;.
% voelde zich op straat niet geïntimideerd de laatste 12 maanden [2021];73%;57%;57%;65%;57%;57%;63%;59%;66%;60%;63%;65%;70%;65%;61%;64%;64%;56%;61%;67%;60%;68%;64%;63%;62%;74%;75%;71%;76%;.;79%;78%;78%;.;.
% voelde zich op straat niet geïntimideerd de laatste 12 maanden [2023];64%;57%;59%;51%;56%;55%;61%;62%;54%;69%;69%;61%;73%;65%;58%;60%;60%;49%;51%;62%;57%;62%;58%;60%;57%;70%;68%;68%;76%;.;78%;71%;77%;.;
% voelde zich op straat niet geïntimideerd de laatste 12 maanden [2025];60%;42%;55%;47%;52%;56%;52%;50%;57%;52%;58%;63%;70%;67%;60%;58%;57%;44%;49%;60%;58%;57%;61%;53%;48%;57%;60%;62%;67%;.;70%;67%;67%;.;
% zegt liever niet of ze zich op straat geïntimideerd voelden de laatste 12 maanden [2019];2%;2%;4%;4%;3%;3%;5%;2%;2%;1%;13%;1%;1%;1%;0%;1%;1%;0%;2%;3%;1%;6%;2%;4%;9%;1%;3%;4%;2%;.;1%;2%;2%;.;.
% zegt liever niet of ze zich op straat geïntimideerd voelden de laatste 12 maanden [2021];4%;5%;3%;2%;3%;4%;2%;7%;5%;8%;9%;1%;1%;1%;1%;3%;2%;1%;0%;4%;1%;7%;4%;2%;5%;3%;1%;1%;0%;.;1%;1%;1%;.;.
% zegt liever niet of ze zich op straat geïntimideerd voelden de laatste 12 maanden [2023];1%;3%;3%;1%;4%;3%;7%;6%;8%;6%;5%;2%;1%;1%;2%;3%;2%;2%;2%;4%;1%;5%;3%;4%;7%;4%;4%;1%;1%;.;2%;3%;4%;.;
% zegt liever niet of ze zich op straat geïntimideerd voelden de laatste 12 maanden [2025];1%;3%;2%;6%;3%;5%;5%;10%;6%;8%;8%;1%;1%;2%;1%;1%;1%;2%;2%;4%;2%;6%;4%;4%;8%;5%;5%;5%;3%;.;4%;4%;4%;.;
